Date,CampaignName,Query,Impressions,Clicks,Ctr,Cost,Conversions
2026-08-09,Единая перфоманс-кампания №2 от 09-08-2026,аренда артромот для коленного сустава в москве,1,0,0.00,0.00,0
2026-08-09,Единая перфоманс-кампания №2 от 09-08-2026,артромот для коленного сустава аренда,2,0,0.00,0.00,0
2026-08-09,Единая перфоманс-кампания №2 от 09-08-2026,артромот для коленного сустава аренда москва,3,2,66.67,263.57,2
